device,rmean,length,model,error,std,srate,q75,q90
d884,11,1,0,0.3054912566089798,0.2385391955475453,1.0,0.44054796288030407,0.6427449332849615
all,11,1,0,0.308415336141146,0.24681497408546754,1.0,0.4441846274890478,0.6557432427198178
a650,14,1,0,0.28831198802902974,0.23406500611198378,0.9764397905759162,0.4180436443750585,0.6214069888805962
38b8,14,1,0,0.3038840027739909,0.25760948178681176,0.7513089005235603,0.4409705450443515,0.664393114468524
14df,14,1,0,0.2891298213682649,0.2421211630687864,0.9764397905759162,0.42581516444385104,0.6230018606038403
d884,14,1,0,0.3003423785121411,0.23911783201679795,0.9921465968586387,0.4360117641965101,0.6270917379173386
all,14,1,0,0.3017698247183995,0.24445854404700615,1.0,0.4408811805272521,0.6396377855921502
a650,12,1,0,0.2968939339087836,0.2322946763753022,0.9921465968586387,0.42358625313353837,0.6209058758127037
38b8,12,1,0,0.3106536531515373,0.2615656079567496,0.7539267015706806,0.4501207305190348,0.6783916121074444
14df,12,1,0,0.2838700492754252,0.23438069776421694,0.9869109947643979,0.4087320889269467,0.605227058924121
d884,12,1,0,0.3037910830032107,0.23886708256711106,0.9973821989528796,0.44633771731935756,0.6392635468670517
all,12,1,0,0.30669380550471803,0.24624920900097852,1.0,0.4439528606712381,0.6498038067863627
a650,13,1,0,0.2973550383231275,0.23931327023654886,0.9842931937172775,0.42825694749132404,0.6442745442382397
38b8,13,1,0,0.3146132402966596,0.2599857783862234,0.7539267015706806,0.4537109015481031,0.6732344983064448
14df,13,1,0,0.2890207250881597,0.23963897281935406,0.9842931937172775,0.41688883195350657,0.622187799718454
d884,13,1,0,0.2975195908567202,0.2392857013567731,0.9973821989528796,0.4332207530181489,0.6189456553366167
all,13,1,0,0.3050457265334892,0.24442806512202941,1.0,0.44173613789581334,0.6437256270915637
a650,15,1,0,0.2835671044573159,0.23385847504767934,0.9764397905759162,0.40834035275394315,0.5975281320796646
38b8,15,1,0,0.31371519615988114,0.25526129234073835,0.7486910994764397,0.4561471148025805,0.6703217453980979
14df,15,1,0,0.28507763893239124,0.2405479552135217,0.9633507853403142,0.4186460676977568,0.6133403141642146
d884,15,1,0,0.2997456959946216,0.24072385282007308,0.9869109947643979,0.4397677297221815,0.6321945252417951
all,15,1,0,0.29889076679535054,0.23931015591182675,1.0,0.4369402254007012,0.630655510928169
a650,16,1,0,0.2829977551831467,0.22560544241247935,0.9764397905759162,0.41299632851735435,0.5948040542704404
38b8,16,1,0,0.3131398459347739,0.25547346929522985,0.7486910994764397,0.44197194919489335,0.6803978894704255
14df,16,1,0,0.28541990343007634,0.23910730772174343,0.9659685863874345,0.42137253793369944,0.6207498614631276
d884,16,1,0,0.29794028059280736,0.2416523256377474,0.981675392670157,0.4384198919376038,0.6382919103021991
all,16,1,0,0.30088106035403395,0.23986560378082986,1.0,0.4408067502756291,0.6366340530519452
a650,17,1,0,0.28195496720095525,0.23044571585545184,0.9712041884816754,0.4056113875698454,0.6033953247778613
38b8,17,1,0,0.30252660816050336,0.2458108702148773,0.743455497382199,0.430924366808663,0.6461253643601099
14df,17,1,0,0.27930331722179347,0.23638681464700645,0.9607329842931938,0.41801220965605224,0.6025878065335085
d884,17,1,0,0.3027721542154637,0.24069531429364052,0.9764397905759162,0.444283598728043,0.6451130307281561
all,17,1,0,0.2953021931459001,0.23438381470969788,1.0,0.4342687183170744,0.6258099936513766
a650,18,1,0,0.28902355102753124,0.23665307126528687,0.9581151832460733,0.416799516826297,0.618306659413586
38b8,18,1,0,0.3060684114950068,0.24891503064174514,0.743455497382199,0.44048466324585567,0.6670113909350868
14df,18,1,0,0.27367637229334163,0.22777030036783857,0.9476439790575916,0.39648927768341563,0.5878412086489613
d884,18,1,0,0.2983247168025683,0.23386697930224473,0.9685863874345549,0.4426302569087335,0.6244673814222776
all,18,1,0,0.29611819959487967,0.2351126246473742,1.0,0.4342568644381252,0.6314128671569396
a650,19,1,0,0.2933397069157181,0.24103175931329388,0.9528795811518325,0.42341699324941834,0.6219614875362159
38b8,19,1,0,0.2994620832360744,0.24473150800615703,0.7382198952879581,0.4335820375900943,0.6519437745627951
14df,19,1,0,0.2785233372482397,0.23655958993853762,0.9293193717277487,0.40840238166483556,0.593706381126544
d884,19,1,0,0.2936965597168387,0.2377761750745354,0.9528795811518325,0.4343246486066161,0.6351729598748336
all,19,1,0,0.2921739207234703,0.2363856199946255,1.0,0.4317661584256816,0.6228642948965806
a650,20,1,0,0.284565122654915,0.23096668575610885,0.93717277486911,0.41324475152237694,0.586387574007205
38b8,20,1,0,0.3038407537964693,0.24746736789774457,0.7356020942408377,0.4409821961138203,0.6643823911440087
14df,20,1,0,0.2777959085059754,0.23355247461542517,0.9136125654450262,0.4118317609640122,0.5881335586174334
d884,20,1,0,0.2963976991306516,0.2398889145446854,0.9345549738219895,0.440171070226503,0.6371752734043264
all,20,1,0,0.28615160289446345,0.22868615829703015,1.0,0.4240217737593284,0.5998206650265037
a650,21,1,0,0.28971636988639393,0.23507450054203355,0.9293193717277487,0.4200095665847988,0.6015163324655499
38b8,21,1,0,0.3057543118921241,0.24938641785626697,0.7277486910994765,0.4462720759712473,0.6560954510307204
14df,21,1,0,0.27464703344639857,0.22944234525089333,0.9083769633507853,0.4074518278453043,0.5863216137187173
d884,21,1,0,0.28969335987156986,0.23585686410725912,0.9240837696335078,0.44060105628398083,0.6243734523607607
all,21,1,0,0.2846586801641233,0.2251640236389584,1.0,0.42408685446575645,0.6051784660594789
a650,22,1,0,0.2853113239857937,0.22827664851102963,0.9162303664921466,0.4163001639409885,0.5948280307123155
38b8,22,1,0,0.31068676443383675,0.2501842567506134,0.7277486910994765,0.4558727609787053,0.6698097807221922
14df,22,1,0,0.27314961868748106,0.23241217806534475,0.900523560209424,0.3997043511264853,0.6033713357157878
d884,22,1,0,0.2859511152970526,0.23620788509468305,0.918848167539267,0.42757036698778417,0.6208862940158477
all,22,1,0,0.28259006800813175,0.22568639141665106,1.0,0.4178584853105741,0.6052612649082613
a650,23,1,0,0.2908920880186866,0.22834794166883682,0.9031413612565445,0.42760518219126414,0.5985986237858021
38b8,23,1,0,0.30650699777775664,0.2491570618166789,0.7172774869109948,0.4509741262744682,0.6591665392722075
14df,23,1,0,0.2752568878950504,0.22785261338696713,0.8821989528795812,0.3971949773097512,0.594694143801088
d884,23,1,0,0.2936020410567272,0.2402140702770138,0.918848167539267,0.43305685365704183,0.6271531153052488
all,23,1,0,0.28460737058544416,0.22398343424786157,1.0,0.4198253329102888,0.5994017551805557
a650,24,1,0,0.2813086850144998,0.2226907697961439,0.887434554973822,0.40905213389558526,0.5899762383668595
38b8,24,1,0,0.30378950192801885,0.24760948849310463,0.7094240837696335,0.4368942218087307,0.6618347425993156
14df,24,1,0,0.2739335505443463,0.22814576341338608,0.8664921465968587,0.4121857001952948,0.5958985331423223
d884,24,1,0,0.2993787245866947,0.2386335144930947,0.887434554973822,0.44281046983154493,0.6286161310358597
all,24,1,0,0.2793102155103215,0.2192044785046812,0.9973821989528796,0.41371837769982767,0.587294321242122
a650,25,1,0,0.28133605826575037,0.22290889492857077,0.8795811518324608,0.4202548340554214,0.5894609252317342
38b8,25,1,0,0.30590252194689543,0.24444123801581355,0.6963350785340314,0.4365476079159868,0.6555187087758312
14df,25,1,0,0.27704829380691315,0.225058554957446,0.8586387434554974,0.4101944856735014,0.59854890940173
d884,25,1,0,0.2978864593549498,0.23812790312235219,0.8664921465968587,0.44635230981681706,0.6316309196570938
all,25,1,0,0.2818341206808656,0.21732373688550005,0.9947643979057592,0.42316932273204977,0.5865540449259078
a650,26,1,0,0.27939072519680885,0.21808132964448357,0.8507853403141361,0.4179434501461644,0.5830445954068704
38b8,26,1,0,0.2980875830247447,0.23794393686797502,0.6832460732984293,0.429573746541768,0.6299574119989261
14df,26,1,0,0.2780354769079902,0.2283848365169316,0.8481675392670157,0.40475412787667575,0.595248295386539
d884,26,1,0,0.29106445649373586,0.22868242519962417,0.8403141361256544,0.438202974080799,0.6124718647028748
all,26,1,0,0.27725328377482744,0.21446186293715683,0.9842931937172775,0.41761197387049553,0.5800890272801338
a650,27,1,0,0.27440111714656806,0.2161182709438774,0.8167539267015707,0.3977712179807657,0.5662028172155767
38b8,27,1,0,0.3039112408917137,0.24046883090631463,0.6649214659685864,0.43431426134027307,0.6395681057528653
14df,27,1,0,0.27710161938997985,0.22863502830498644,0.8272251308900523,0.41284638746334723,0.6099775536288495
d884,27,1,0,0.28907176072560414,0.2265119429000745,0.8115183246073299,0.4396661126446247,0.6114497513125683
all,27,1,0,0.2783002640042464,0.21404240697720125,0.981675392670157,0.4181193293354497,0.582478459350015
a650,28,1,0,0.2723336213624244,0.21409500703117054,0.7879581151832461,0.4099114653417278,0.5656251745684451
38b8,28,1,0,0.3011527818321675,0.23285277827601525,0.6518324607329843,0.4236113747481513,0.6103201909417945
14df,28,1,0,0.2873760859062629,0.23551965562499325,0.8167539267015707,0.42343750984772355,0.622370012073195
d884,28,1,0,0.2951159329450819,0.22164675196425826,0.7984293193717278,0.44420508329804825,0.5881306775193805
all,28,1,0,0.2754839163727315,0.20742605451991222,0.9790575916230366,0.4116167482684203,0.5670298601218516
a650,29,1,0,0.2777048599269968,0.21576588552603623,0.7722513089005235,0.4213914191674861,0.5702952948185973
38b8,29,1,0,0.3049318738898143,0.23075659444978294,0.6282722513089005,0.4459580009567939,0.6240696364487955
14df,29,1,0,0.27800541382121885,0.22924603458204665,0.7905759162303665,0.4149337588300615,0.6037099487544593
d884,29,1,0,0.2943456753740873,0.22058793409636146,0.7643979057591623,0.44236171359173077,0.5986763215935453
all,29,1,0,0.277240544295901,0.20553517920998407,0.9790575916230366,0.4124126290016735,0.5617076991819181
a650,30,1,0,0.27326188890579417,0.20842708653072062,0.7486910994764397,0.3988086188334091,0.5695918100061236
38b8,30,1,0,0.3112869115712936,0.23552768534232857,0.6020942408376964,0.4485731929333369,0.6254465508004339
14df,30,1,0,0.28210577809445314,0.22749566937050592,0.7722513089005235,0.42024886644303444,0.6106189956067639
d884,30,1,0,0.28573954767870186,0.22075184775022333,0.756544502617801,0.4295565604737323,0.5944395554618087
