max_back,device,rmean,length,model,error,std,srate,q75,q90
1,d884,13,2,0,0.22022325101149468,0.17955243587188296,0.981675392670157,0.3119428481900943,0.4625873634751899
1,all,13,2,0,0.2201059479832701,0.18224917253834177,350.0,0.3117189306596194,0.4577915898645478
2,a650,13,2,0,0.21566730187518873,0.1802626466539434,0.9842931937172775,0.30562211241514936,0.45381513973354853
2,38b8,13,2,0,0.23321295339329362,0.20277730388701823,0.7539267015706806,0.32554277396153675,0.4980645295411521
2,14df,13,2,0,0.20909596833234137,0.183435386508719,0.9842931937172775,0.29271320317459504,0.4427521801970455
2,d884,13,2,0,0.22076036956617737,0.18065348249399674,0.9973821989528796,0.3127018945808181,0.4632889193766122
2,all,13,2,0,0.22473786932796488,0.1885281984863881,355.25,0.3171955063217436,0.46939902909956527
3,a650,13,2,0,0.21566730187518873,0.1802626466539434,0.9842931937172775,0.30562211241514936,0.45381513973354853
3,38b8,13,2,0,0.23321295339329362,0.20277730388701823,0.7539267015706806,0.32554277396153675,0.4980645295411521
3,14df,13,2,0,0.20909596833234137,0.183435386508719,0.9842931937172775,0.29271320317459504,0.4427521801970455
3,d884,13,2,0,0.22076036956617737,0.18065348249399674,0.9973821989528796,0.3127018945808181,0.4632889193766122
3,all,13,2,0,0.22473786932796488,0.1885281984863881,355.25,0.3171955063217436,0.46939902909956527
4,a650,13,2,0,0.21566730187518873,0.1802626466539434,0.9842931937172775,0.30562211241514936,0.45381513973354853
4,38b8,13,2,0,0.23321295339329362,0.20277730388701823,0.7539267015706806,0.32554277396153675,0.4980645295411521
4,14df,13,2,0,0.20909596833234137,0.183435386508719,0.9842931937172775,0.29271320317459504,0.4427521801970455
4,d884,13,2,0,0.22076036956617737,0.18065348249399674,0.9973821989528796,0.3127018945808181,0.4632889193766122
4,all,13,2,0,0.22473786932796488,0.1885281984863881,355.25,0.3171955063217436,0.46939902909956527
5,a650,13,2,0,0.21566730187518873,0.1802626466539434,0.9842931937172775,0.30562211241514936,0.45381513973354853
5,38b8,13,2,0,0.23321295339329362,0.20277730388701823,0.7539267015706806,0.32554277396153675,0.4980645295411521
5,14df,13,2,0,0.20909596833234137,0.183435386508719,0.9842931937172775,0.29271320317459504,0.4427521801970455
5,d884,13,2,0,0.22076036956617737,0.18065348249399674,0.9973821989528796,0.3127018945808181,0.4632889193766122
5,all,13,2,0,0.22473786932796488,0.1885281984863881,355.25,0.3171955063217436,0.46939902909956527
1,a650,13,3,0,0.17462189083221683,0.14822279200028454,0.9502617801047121,0.24458251054237043,0.36987026067147477
1,38b8,13,3,0,0.19116987329407328,0.1719096183084828,0.7408376963350786,0.2598085307687441,0.40735959352365875
1,14df,13,3,0,0.16702333052071863,0.15251606922590086,0.9345549738219895,0.22844657118908707,0.35490067726808483
1,d884,13,3,0,0.1808052576002682,0.1492546321196744,0.9607329842931938,0.25428106347570845,0.3778156064722735
1,all,13,3,0,0.17553040482410076,0.1452026198214186,342.5,0.2466157582025123,0.36516138213749755
2,a650,13,3,0,0.17487904956631747,0.1485984083809474,0.9738219895287958,0.24485466956828986,0.3705067669879451
2,38b8,13,3,0,0.19127290551640258,0.1720061174624775,0.7460732984293194,0.25986750928855995,0.4075940157070238
2,14df,13,3,0,0.16734105203176664,0.15300999718690098,0.9633507853403142,0.2287958139554538,0.3555327488004822
2,d884,13,3,0,0.18109664198863146,0.14992956158554296,0.981675392670157,0.2545966892589585,0.3783640968483819
2,all,13,3,0,0.17974470052800331,0.15170392340222377,350.0,0.2508249162285332,0.37468869965881
